분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
지수정규화|센티널값,Index is not provided by Management Company,운용사 미제공 벤치마크(결측),"Lipper 데이터베이스에서 운용사(Management Company)가 펀드의 공식 벤치마크 지수를 제공하지 않았음을 나타내는 센티널 문자열이다. 실제 지수명이 아니므로 해외ETF cu_base_index에서 이 값(1,984건)은 NULL(기초지수 정보 없음)로 정규화해야 한다.",기초지수 미제공; 벤치마크 없음; 지수 미공개,정규화 규칙: 값 전체 일치 시 NULL 치환. '기초지수 없음/미공개'로 응답,high,,"제공 데이터 관측(1,984건) + Lipper FM Benchmark 개념: https://www.lseg.com/en/data-analytics/financial-data/fund-data/lipper-fund-data"
지수정규화|센티널값,Index is not available on Lipper Database,Lipper DB 내 지수 부재(결측),"벤치마크 지수가 존재하더라도 Lipper 데이터베이스에 해당 지수 시계열이 수록되어 있지 않음을 나타내는 센티널 문자열이다. 해외ETF cu_base_index에서 이 값(721건)도 NULL로 정규화해야 하며, 두 센티널 합산 시 약 48%가 실질 결측이다.",Lipper 미수록 지수; 지수 데이터 없음,정규화 규칙: 값 전체 일치 시 NULL 치환,high,,제공 데이터 관측(721건) + LSEG Lipper 데이터 개요: https://www.lseg.com/en/data-analytics/financial-data/fund-data/lipper-fund-data
지수정규화|수익률접미어,TR,총수익지수(Total Return),"배당·이자 등 모든 분배금을 지수에 재투자한다고 가정하고 산출하는 총수익 지수로, 가격 변동과 배당수익을 모두 반영한다. 통상 세전(gross) 기준이며, 같은 지수의 PR/CR 버전보다 장기 수익률이 높게 나타난다.","Total Return; 토탈리턴; 총수익; TRI; Gross Total Return(세전 총수익, GTR과 사실상 동일 계열)",지수명 뒤 접미어. 정규화 시 접미어를 분리해 '수익률유형=총수익'으로 저장,high,,S&P DJI Indexology: https://www.indexologyblog.com/2017/06/07/know-your-price-return-versus-total-return-indices/
지수정규화|수익률접미어,PR,가격지수(Price Return),"구성종목의 가격 변동(자본손익)만 반영하고 배당·이자 수익은 무시하는 지수다. 언론에 보도되는 대표 지수 수치(예: S&P500, KOSPI200 공표치)는 대부분 PR 기준이다.",Price Return; 가격수익; 프라이스리턴; Price Index,지수명 뒤 접미어. 정규화 시 '수익률유형=가격'으로 저장,high,,S&P DJI Indexology: https://www.indexologyblog.com/2017/06/07/know-your-price-return-versus-total-return-indices/
지수정규화|수익률접미어,NR,순총수익지수(Net Total Return),"배당을 재투자하되 배당 원천징수세(비거주 기관투자자에게 적용되는 최고 세율, 조세조약 미적용 기준)를 차감한 후의 배당만 반영하는 세후 총수익 지수다. MSCI 국제지수의 표준 공시 방식이라 'MSCI EAFE NR USD'처럼 MSCI 지수에 주로 붙는다.",Net Return; Net Total Return; 순수익; 세후 총수익; NTR,지수명 뒤 접미어(+통화코드). 정규화 시 '수익률유형=순총수익(세후)'로 저장,high,,MSCI Index Calculation Methodology: https://www.msci.com/indexes/documents/methodology/0_MSCI_Index_Calculation_Methodology_20240812.pdf
지수정규화|수익률접미어,GTR,세전 총수익지수(Gross Total Return),"원천징수세를 차감하지 않은 배당 전액을 재투자한다고 가정하는 세전 총수익 지수로, MSCI에서는 GR(Gross Return), FTSE Russell에서는 표준 Total Return이 이에 해당한다. NR(세후)과 대비되는 개념이며 GTR ≥ NR ≥ PR 순으로 수익률이 높다.",Gross Return; GR; 그로스 토탈리턴; 세전 총수익,지수명 뒤 접미어. 정규화 시 '수익률유형=세전 총수익'으로 저장. 이번 해외ETF 관측 상위 목록에는 미출현,high,,MSCI 방법론 + FTSE Russell Withholding Tax Guide: https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-russell-withholding-tax-guide.pdf
지수정규화|수익률접미어,CR,"자본수익지수(Capital Return, 추정)","Lipper 표기에서 배당을 제외한 가격 변동만 반영하는 자본수익(=가격수익) 지수를 뜻하는 것으로 판단된다. 근거: 데이터에 'S&P 500 TR'과 'S&P 500 CR'이 병존하고, 배당이 없는 'CME CF Bitcoin Reference Rate CR USD'와 전통적 가격지수인 'Dow Jones Industrial Average CR'에 CR이 붙어 있어 PR과 동의로 해석된다. 단, Lipper 공식 데이터 사전으로 확정하지는 못했다.",Capital Return; 자본수익; 가격수익; PR(사실상 동의),"지수명 뒤 접미어. 정규화 시 '수익률유형=가격(자본수익)'으로 저장, PR과 동일 취급",medium,,관측 데이터 정황 + Capital Return 일반 정의: https://quoteddata.com/glossary/capital-return/
지수정규화|표기규칙,NR USD (통화 표기 규칙),지수 산출 통화 표기,"Lipper·MSCI·Morningstar 관행상 지수명 끝의 USD, KRW 등 ISO 4217 통화코드는 지수 수익률을 산출·표시하는 기준 통화를 뜻한다. 'MSCI EAFE NR USD'는 미달러 기준 세후 총수익 지수라는 의미로, 정규화 시 [기본지수명]+[수익률유형]+[통화]로 3분해하면 된다.",USD 표기; 통화코드; 달러 기준,파싱 규칙: 지수명 = 기본명 + 수익률접미어(TR/PR/NR/CR/GTR) + 통화코드(선택),high,,MSCI 지수 팩트시트 표기 관행: https://www.msci.com/indexes/index/990200
지수정규화|표기규칙,지수명 90% (가중치 표기),혼합 벤치마크 가중치 표기,"국내ETF cu_base_index의 'KAP CD 6개월 90%', '종합채권03Y 90%', 'DWGRTT 90%' 같은 표기는 해당 지수를 90% 가중으로 편입한 혼합 벤치마크(잔여 10%는 통상 콜금리 등 현금성 지수)로 해석되며, '코스닥150 150%'는 레버리지(1.5배) ETF의 벤치마크 표기로 해석된다. 이는 KRX 공식 기초지수명이 아니라 펀드평가사 스타일의 BM 표기로 보이므로 정규화 시 %를 파싱해 기본지수명과 가중치를 분리해야 한다.",혼합지수; 합성 벤치마크; 레버리지 배율; blended BM,파싱 규칙: '지수명 N%' → 기본지수명 + 가중치 N/100. 합성형은 '+'로 결합(예: MSCI ACWI CR 50% + 종합채권01Y 50%),low,,제공 데이터 관측 기반 추정(공식 문서 미확인)
지수정규화|해외지수,S&P500,S&P 500 지수,"S&P 다우존스 인덱스(S&P DJI)가 산출하는 미국 대형주 약 500종목의 유동주식 시가총액가중 지수로, 미국 주식시장의 대표 벤치마크다. 데이터에는 'S&P 500 TR'(335건, 총수익)과 'S&P 500 CR'(51건, 가격) 두 변형이 출현한다.",S&P 500; 에스앤피500; 에스앤피 500; SPX; 스탠더드앤드푸어스500; 스탠다드앤푸어스500; 미국500; 미국 대형주; S&P 500 TR; S&P 500 CR,티커 SPX(PR)/SPTR(TR),high,,https://www.spglobal.com/spdji/en/indices/equity/sp-500/
