테이블ID,상품군,컬럼명,PK,타입,한글명,한글명_출처,설명,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
PRBD01N001,국내채권,PD_NO,,text,상품번호(종목코드),웹 리서치,"채권 종목을 고유하게 식별하는 상품 코드. PD_CTRY_CD가 KR/XS인 점으로 보아 ISIN(국제증권식별번호, 12자리) 체계 기반 표준코드로 추정된다.",종목코드;채권코드;ISIN;표준코드;상품코드;종목번호,텍스트 코드(ISIN 형식 추정: 국가코드 2자리+식별번호 9자리+검증숫자 1자리),medium,검증통과,"https://isin.krx.co.kr/ (KRX표준코드시스템), https://ko.wikipedia.org/wiki/국제_증권_식별_번호"
PRBD01N001,국내채권,PD_EXG_MKT,,text,거래시장구분(장내/장외),웹 리서치,"해당 채권이 거래소(장내)에서 거래되는지, 증권사 창구를 통한 장외시장에서 거래되는지의 구분. 증권사 채권 화면의 '장내채권/장외채권' 구분과 동일하다.",장내채권;장외채권;시장구분;거래시장;장외;장내,'장내' 또는 '장외',high,검증통과,https://securities.miraeasset.com/mw/mks/mks4036/n01.do (미래에셋증권 채권안내: 장내/장외 구분)
PRBD01N001,국내채권,PD_NM,,text,상품명(종목명),웹 리서치 (교차참조 일치: 상품명),채권의 정식 종목명. 예: '국민주택1종채권 20-01'처럼 채권 종류와 회차가 포함된다.,종목명;채권명;상품명;채권 이름,텍스트,high,검증통과,데이터 실측값(국민주택1종채권 20-01) 및 https://www.daishin.com/g.ds?m=1019&p=1210&v=797 (장외채권 화면의 '종목명' 항목)
PRBD01N001,국내채권,PD_ABRV_NM,,text,상품약명(종목약칭),웹 리서치 (교차참조 일치: 상품약어명),채권 종목명의 축약 표기. HTS/MTS 화면 표시용 짧은 이름이다.,약칭;종목약명;축약명,텍스트,medium,검증통과,"약어 ABRV=abbreviation 해석(컬럼명 기반 추정, 데이터 원천 문서 미공개)"
PRBD01N001,국내채권,PD_ENG_NM,,text,영문상품명,웹 리서치,채권 종목의 영문 정식 명칭.,영문명;영어 이름;english name,텍스트(영문),high,검증통과,약어 ENG_NM=English Name(자명한 표준 약어)
PRBD01N001,국내채권,PD_ABRV_ENG_NM,,text,영문상품약명,웹 리서치,채권 종목의 영문 축약 명칭.,영문약칭;영문 약어명,텍스트(영문),medium,검증통과,약어 ABRV_ENG_NM=Abbreviated English Name(컬럼명 기반 추정)
PRBD01N001,국내채권,PD_CTRY_CD,,text,상품국가코드(발행 국가코드),웹 리서치,"ISIN 체계상 발행 국가코드. KR은 한국거래소(예탁결제원) 부여 국내 발행분, XS는 유로클리어·클리어스트림 등 국제중앙예탁기구(ICSD)를 통해 발행된 국제채권(유로본드)을 뜻한다.",국가코드;발행국가;KR;XS;유로본드;외화채권 발행지,ISO 6166 국가코드 2자리(KR/XS),high,검증통과,"https://ko.wikipedia.org/wiki/국제_증권_식별_번호, https://www.isin.net/xs-isin/"
PRBD01N001,국내채권,PD_PBCM,,text,발행기관명(발행회사),웹 리서치,"채권을 발행한 주체의 명칭. 실측값(한국주택금융공사, 한국산업은행, 하나캐피탈(주), 대한민국, 신한카드(주))이 모두 발행주체명이므로 발행기관 컬럼으로 확인된다. 약어 PBCM의 원어(publishing company 추정)는 미확인.",발행사;발행기관;발행주체;발행회사;발행처;누가 발행했는지,"텍스트(기관·회사명, 국채는 '대한민국')",high,검증통과,데이터 실측값(발행주체명) + https://home.imeritz.com/bond/BondInvtInfo.do (채권 발행주체 분류)
PRBD01N001,국내채권,STD_PD_MCLS_NM,,text,표준상품중분류명,웹 리서치,"발행주체 기준의 채권 대분류. 국공채(국가·지자체), 특수채(특별법상 법인), 회사채(일반 기업·금융회사), 개인투자용국채(개인 전용 저축성 국채, 2024.6 도입), 외화채권-회사채/금융채(외화표시)로 구분된다.",채권종류;채권 분류;국공채;특수채;회사채;개인투자용국채;외화채권,'회사채'/'특수채'/'국공채'/'개인투자용국채'/'외화채권-회사채'/'외화채권-금융채',high,검증통과,"https://home.imeritz.com/bond/BondInvtInfo.do (발행주체별 채권 분류), https://securities.miraeasset.com/hks/hks4046/n01.do (개인투자용국채 안내)"
PRBD01N001,국내채권,STD_PD_SCLS_NM,,text,표준상품소분류명,웹 리서치,"중분류(STD_PD_MCLS_NM) 하위의 세부 상품 분류(16개 값). 예컨대 국공채 내 국고채·지방채, 회사채 내 금융채·일반회사채 등의 세분류로 추정된다.",세부 분류;소분류;채권 세부종류,텍스트(16개 분류값),medium,검증통과,약어 SCLS=소분류(Small CLaSs) 해석 + 중분류-소분류 계층 구조(데이터 실측)
PRBD01N001,국내채권,BD_KND,,text,채권종류,웹 리서치,채권의 세부 종목 유형(39개 값). 이표채·할인채·복리채 같은 이자지급방식 또는 국민주택채권·통안증권 등 종목 계열 구분으로 추정되며 정확한 값 체계는 데이터로 확인 필요.,채권 유형;채권 종류;이표채;할인채;복리채,텍스트(39개 값),medium,검증통과,약어 BD_KND=BonD KiND 해석 + https://home.imeritz.com/bond/BondInvtInfo.do (채권 종류 분류 일반론)
PRBD01N001,국내채권,CURR_CD,,text,통화코드,웹 리서치 (교차참조 일치: 통화코드),"채권의 표시통화(ISO 4217 코드). KRW=원화, USD/EUR/JPY=외화표시 채권이며, '000'은 통화 미지정 센티널로 추정된다(공식 ISO 코드 아님).",통화;표시통화;원화채권;달러채권;외화채권 통화,"ISO 4217 3자리 코드(KRW/USD/EUR/JPY), '000'=미지정 추정",high,검증통과,ISO 4217 통화코드 표준 + 데이터 실측값('000'은 low)
PRBD01N001,국내채권,ISU_BAL_AMT,,double precision,발행잔액,웹 리서치,해당 종목이 발행되어 아직 상환되지 않고 시장에 남아 있는 총액. 종목의 규모·유동성을 가늠하는 지표로 쓰인다.,발행잔액;발행규모;미상환잔액;상장잔액,"금액(표시통화 기준, 원/천원 단위 여부는 미확정)",high,검증통과,약어 ISU_BAL_AMT=ISsUe BALance AMounT + KOFIA 채권정보센터(bond.kofiabond.or.kr) 종목정보 항목 '발행잔액'
