하 | 3% 이자율인 채권 5개를 알려 주시겠어요? | 국내 채권 표면금리가 정확히 3%인 행을 조회하며 금리 0과 만기 경과분은 목록에서 제외한다.
하 | 1만원 이하 종가인 ETF 다섯 개만 찾아줘. | 국내 ETF 장내종가에서 0을 제외하고 10000원 이하인 상품을 찾는다.
하 | 국내 ETF 중 순자산 제일 큰 거 하나만! | 국내 ETF 순자산총액 내림차순 첫 상품 한 건을 조회한다.
하 | 해외 ETF 총보수가 가장 낮은 상품 한 개 부탁합니다. | 해외 ETF 총보수 양수인 행의 오름차순 첫 상품을 조회한다.
하 | 판매 중인 공모펀드, 총보수 낮은 순으로 5개 보고 싶어요. | 공모펀드 판매상태와 유형을 확인하고 판매·운용·수탁·사무 보수 합이 양수인 행을 오름차순으로 조회한다.
하 | 국내ETF1개월변동성낮은순5개보여줘 | 국내 ETF 1개월 변동성의 0과 결측을 제외한 오름차순 목록이다.
하 | 3개월 변동성이 10% 미만인 국내 ETF 5개 있나여? | 국내 ETF 3개월 변동성이 0이 아니고 10%보다 작은 행을 조회한다.
하 | 국내 ETF 6개월 변동성 20% 이상인 거 5개 좀. | 국내 ETF 6개월 변동성에서 20% 경계를 포함해 필터링한다.
중 | 국내 주식형 펀드를 순자산 많은 순으로 5개 정리해 주세요. | 펀드 유형·투자지역·순자산으로 조회하되 지역이 빈 행의 국내 판정은 자료 한계를 명시해야 한다.
중 | 회사채 중 표면금리 4% 이상이고 잔존만기 3년 이하인 상품 5개 찾아줄래? | 국내 채권 분류·표면금리·기준일 대비 잔존만기를 함께 적용한다.
중 | 미국 주식형 해외 ETF 중 총보수 0.2% 이하인 상품 다섯 개 부탁드려요. | 해외 ETF 투자지역·자산유형·총보수에서 미국·주식·양수 0.2% 이하를 결합한다.
중 | 2020년 이후 상장했고 순자산 1조원 이상인 국내 ETF 중 이름과 순자산만 보여줘. | 국내 ETF 상장일과 순자산 조건을 함께 적용하고 요청한 두 항목을 표시한다.
중 | 공모펀드에서 총보수 0.5% 이하에 위험등급 5등급인 것, 이름과 총보수만 적어 주세요. | 펀드 보수 네 항목의 양수 합과 위험등급을 함께 조회하고 요청한 항목만 표시한다.
중 | ACCENTURE 들어 있는 ETF를 순자산 큰 순으로 3개만 볼 수 있을까요? | 수집한 ETF 구성종목의 이름 조각을 찾을 수 있으나 부분 일치만으로 편입을 확정하면 안 되므로 후보와 한계를 구분한다.
중 | 온라인 수수료미징구 펀드 한 개 보여주삼. | 공모펀드 클래스의 판매채널과 수수료 유형을 함께 확인한 뒤 한 건을 제시한다.
중 | 퇴직연금에 넣을 수 있고 매수 가능한 채권 두어 개 소개 좀 해 줘. | 채권 퇴직연금 편입 가능과 만기 조건을 결합하며 두어 개는 정확한 개수가 정해지지 않은 구어 표현이다.
상 | 마이크로소프트를 담은 국내·해외 ETF와 공모펀드를 함께 찾아서 1년 수익률 TOP5로 정리해 줘요. | 국내 ETF 편입과 1년 수익률은 조회 가능하지만 해외 ETF 1년 수익률과 펀드 개별 보유 종목은 없어 한계를 밝혀야 한다.
상 | 애플 편입 ETF 중 총보수 0.5% 이하이고 순자산 1위인 상품의 위험등급은? | 구성종목으로 ETF를 찾고 양수 총보수 상한·순자산 순위를 적용한 뒤 위험등급을 조회한다.
상 | 현대차 계열사를 담은 ETF 가운데 순자산이 제일 큰 상품, 운용사가 어딘가요? | 수집한 구성종목과 운용사·순자산으로 후보를 찾되 법적 계열 관계 자료가 없다는 한계를 명시한다.
상 | 국내 ETF 중 3개월 변동성 15% 미만이고 순자산 1000억원 이상인 상품 3개를 변동성 낮은 순으로 뽑아 줘. | 국내 ETF 3개월 변동성의 0 제외·미만 조건과 순자산 하한을 결합해 변동성 오름차순으로 조회한다.
상 | 1개월 수익률이 5% 넘고 2022년 이후 상장한 국내 ETF 상위 3개의 종가도 적어 주세요. | 국내 ETF 1개월 수익률의 경계 제외 하한과 상장일을 결합해 수익률 순위 및 종가를 확인한다.
상 | 매수 가능한 AA급 회사채에서 잔존만기 2년 이하인 것 중 표면금리 높은 순 3종목과 듀레이션 알려주실래요? | 채권 신용등급 묶음·분류·잔존만기를 걸러 표면금리 내림차순 상품과 듀레이션을 조회한다.
상 | 유럽 채권형 해외 ETF 가운데 총보수 0.3% 이하, 순자산 1억달러 이상인 것 3개만요. | 해외 ETF 지역·자산유형·양수 총보수 상한·달러 단위 순자산 하한을 함께 조회한다.
상 | 온라인으로 파는 수수료미징구 펀드 중 위험등급 4등급인 걸 총보수 낮은 순서로 3개 비교해 주십시오. | 펀드 클래스 판매채널·수수료 유형·위험등급을 결합하고 네 가지 보수 합의 양수 값으로 정렬한다.
답변불가 | TIGER 미국S&P500 지금 실시간 체결가 얼마예요? | 실시간 시세는 기준일에 고정된 제공 데이터 밖이다.
답변불가 | 다음 달 가장 많이 오를 ETF 하나 콕 찍어 봐. | 미래 수익률 예측은 제공 데이터로 확인할 수 없다.
답변불가 | 내가 산 펀드 지금 환불 처리해줘요. | 매매·환불 등 계좌 행위를 수행하는 기능과 자료가 없다.
답변불가 | 달빛고래우주여행 2042 ETF 상품 정보 알려 줘! | 출제자가 만든 상품명으로 실제 데이터에 존재하는지 확인한 뒤 없으면 정해진 거절문을 사용한다.
답변불가 | ACE 미국30년국채액티브(H)의 분배락일 알려주세욤. | 정확한 분배락 날짜는 제공 데이터에 없다.
답변불가 | 해외 ETF 팔아서 300만원 벌었는데 내가 낼 양도소득세 계산 좀 해 줘. | 개인별 세금 계산에 필요한 자료와 기능은 제공 범위 밖이다.
