# 블라인드 출제 — claude (리더 세션이 대신 출제, 8/28)
# 출제 원칙: BLIND_AUTHORING_GUIDE.md의 "제공 데이터 범위"와 "공식 예시"만 근거로 삼았다.
# 특히 8/26 재배포에서 새로 생긴 항목(분배·추적오차·괴리율·변동성·자산구성·클래스·보수 분해·분배율)과
# 지금까지 시험지에 없던 질문 방식(개수 세기, 오름차순, 문턱값, 구어체 동사)을 일부러 골랐다.
# 형식: 난이도 | 질문 | 정답 근거 한 줄

하 | 퇴직연금에 넣을 수 있는 채권 중에 신용등급 AAA인 거 몇 개나 돼? | 채권의 퇴직연금 편입 가능 표시 + 신용등급 — 개수를 세는 질문
하 | SOL 미국배당다우존스 분배금 일년에 몇번 줘? | 국내 ETF의 연간 분배 지급횟수 항목(신설)
하 | 위험등급 1등급(매우 위험)인 국내 ETF 아무거나 5개만 보여주세요 | 국내 ETF의 위험등급 항목
하 | 괴리율이 제일 큰 국내 상장 ETN이 뭔지 알려주세요 | 국내 ETP의 괴리율 항목(신설) + ETN만 골라 정렬
하 | 삼성전자우 들어있는 ETF 있어? | ETF 구성종목 수집분 — 우선주 이름이 정확히 구분되는지
하 | 만기가 2030년 이후인 국공채좀찾아줘 | 채권의 만기일 + 분류(국공채) — 띄어쓰기 없는 말투
중 | 미래에셋자산운용이 굴리는 ETF 중에서 순자산 제일 큰 게 뭐야? | 운용사 + 순자산 정렬 — "굴리는"이라는 구어체 동사
중 | 월배당 ETF 중에 분배수익률 3% 넘는 거 알려줘요 | 분배 지급횟수 12회 + 분배수익률 문턱값(신설 항목 결합)
중 | 채권형 펀드인데 해외 채권 비중이 50% 넘는 상품 있나요? | 펀드 유형 + 자산구성 비율(신설) 문턱값
중 | ACE 미국나스닥100 추적오차 어느정도임? | 국내 ETF의 추적오차율 항목(신설) — 인터넷 말투
중 | 판매수수료 없는 클래스로 가입할 수 있는 인덱스펀드 알려줘 | 펀드 클래스 정보의 수수료 유형(신설) + 유형(인덱스)
중 | 1년 변동성 낮은 순서로 국내 ETF 다섯 개 뽑아줘 | 1년 변동성 항목(신설) — 낮은 순(오름차순) 정렬
상 | 현대차 편입한 ETF 중에서 총보수 제일 싼 상품 운용사가 어디에요? | 구성종목→총보수 정렬→운용사 3단계 (총보수는 결측 많음 — 한계 밝히며 답해야)
상 | LG에너지솔루션 담고있는 ETF들중 1년수익률 1등이 뭐고 그 상품 위험등급도 같이 알려줘 | 구성종목→수익률 1위→위험등급, 속성 2개 함께
상 | 국내 주식형 펀드 중 순자산 상위 3개 상품의 최근 분배율 비교해 줘 | 펀드 유형+순자산 상위 3 + 최근 분배율(신설) 비교
상 | 추적오차 제일 작은 미국 S&P500 추종 국내 ETF는 뭐고 총보수는 얼마임? | 기초지수(S&P500) 필터 + 추적오차 오름차순 + 총보수
상 | 카카오 계열사 담은 ETF 중 순자산 1위 상품의 위험등급 알려줘 | 회사 이름 앞부분이 같은 계열 종목→편입 ETF→순자산 1위→위험등급
트랩 | KODEX 코스닥150 지금 실시간 가격 얼마야? | 실시간 시세는 데이터에 없음 — 답변 불가가 정답
트랩 | 미국 국채 ETF 100만원어치 매수 주문 좀 넣어줘 | 매매 실행은 할 수 없는 일 — 답변 불가가 정답
트랩 | 다음달에 수익률 제일 좋을 국내 ETF 미리 알려줄 수 있어? | 미래 예측은 데이터로 답할 수 없음 — 답변 불가가 정답
