상품군,컬럼,값,건수,고유값수,의미,동의어,정규화_규칙,신뢰도,출처
국내채권,PD_EXG_MKT,장내,24749,2,"한국거래소(KRX)에 상장되어 일반채권시장·소액채권시장 등에서 가격·시간 우선의 경쟁매매로 거래되는 채권(24,749건). 최소 액면 1천원~1만원 단위 소액 거래가 가능하고 호가가 공개되어 가격 투명성이 높으며, 첨가소화채권은 전용 소액채권시장에서 거래된다.",장내채권;거래소 채권;KRX 상장채권;일반채권시장;소액채권시장,,high,http://open.krx.co.kr/contents/OPN/01/01020000/OPN01020000.jsp (KRX 채권시장 안내)
국내채권,PD_EXG_MKT,장외,17645,2,"거래소를 거치지 않고 증권회사 창구·브로커를 통해 매도자와 매수자가 1:1 상대매매로 거래하는 채권(17,645건). 증권사가 보유한 채권을 고객에게 판매하는 형태가 일반적이며, 국내 채권 유통은 기관 간 장외거래 비중이 압도적으로 높다.",장외채권;OTC 채권;증권사 판매 채권;상대매매 채권;점두거래,,high,http://open.krx.co.kr/contents/OPN/01/01020000/OPN01020000.jsp (KRX 채권시장 안내); https://www.daishin.com/content/w/fnmall/bondrp/listedBondIntroduce.ds?p=1183&v=769&m=1021 (대신증권 장내채권 소개)
국내채권,PD_CTRY_CD,KR,42393,2,"ISO 3166-1 alpha-2 국가코드로 대한민국. 국내채권 PD_CTRY_CD 42,393건의 값이며, ISIN 접두어로도 사용됨(국내 발행 증권).",한국;대한민국;남한;국내,"ISO 3166-1 alpha-2; 대응 alpha-3 KOR, 숫자 410",high,https://www.iso.org/obp/ui/#iso:code:3166:KR
국내채권,PD_CTRY_CD,XS,1,2,"ISO 3166 국가코드가 아니라, 국제예탁결제기구(ICSD)인 Euroclear·Clearstream이 국제증권(유로본드 등)에 부여하는 ISIN 접두어. 국내채권 PD_CTRY_CD의 XS 1건은 국내 국가코드 대신 XS-ISIN을 갖는 국제채로 해석.",국제채;유로본드;국제증권;Euroclear;Clearstream,"ISIN 첫 2자리; 국가 매핑 시 '국제(International)'로 별도 분류, 특정 국가로 정규화 금지",high,"https://www.isin.net/xs-isin/, https://www.isin.org/isin/"
국내채권,STD_PD_MCLS_NM,회사채,31447,6,"상법상 주식회사가 시설투자·운영자금 등 사업자금 조달을 위해 발행하는 채무증권. 본 데이터에서는 일반회사채뿐 아니라 카드채·할부금융채 등 민간 금융회사 발행 채권과 유동화·Conduit 사채까지 포괄하는 최상위 분류로 사용된다(31,447건).",사채;일반 회사채;기업채;크레딧채권;크레딧물,,high,"https://eiec.kdi.re.kr/material/clickView.do?click_yymm=201512&cidx=1084 (KDI 경제교육, 채권시장 분류)"
국내채권,STD_PD_MCLS_NM,특수채,8755,6,"한국전력공사법·한국산업은행법 등 특별법에 따라 설립된 법인(공사·공단·특수은행·한국은행 등)이 발행하는 채권. 정부 관련 기관이 발행해 국채 다음가는 신용도를 가지며, 본 데이터에서는 공사채·특수은행채·MBS·통안채 등을 포괄한다(8,755건).",특수법인채;공공기관채;공사공단채;한전채;정부기관채,,high,"https://eiec.kdi.re.kr/material/clickView.do?click_yymm=201512&cidx=1084 (KDI 경제교육, 채권시장 분류)"
국내채권,STD_PD_MCLS_NM,국공채,2137,6,"정부가 발행하는 국채(국고채·국민주택채권·재정증권 등)와 지방자치단체가 발행하는 지방채(지역개발채권·도시철도채권·모집지방채 등)를 합쳐 부르는 분류(2,137건). 국가·지자체의 신용으로 발행되어 신용위험이 가장 낮은 채권군이다.",국채;지방채;정부채;나라채권,,high,"https://ktb.moef.go.kr/ntndbtKnd.do (기획재정부 국채시장, 국채종류)"
국내채권,STD_PD_MCLS_NM,개인투자용국채,49,6,"2024년 6월 최초 발행된 개인 전용 저축성 국채(49건)로 5·10·20년물이 있으며 전용계좌로 개인만 매입할 수 있다. 만기 보유 시 표면금리+가산금리 복리 이자와 이자소득 분리과세(14%) 혜택을 받고, 유통시장 매매는 불가하며 중도환매 시 혜택이 없다.",개인국채;개인투자용 국채;저축성 국채,,high,https://ktb.moef.go.kr/personalInvGovBonds.do (기획재정부); https://www.korea.kr/news/policyNewsView.do?newsId=148957316 (정책브리핑)
국내채권,STD_PD_MCLS_NM,외화채권-회사채,5,6,국내 시장에서 원화가 아닌 외화(달러 등) 표시로 발행된 회사채 분류(5건). 국내 발행 외화표시 채권은 통칭 김치본드로 불린다.,외화표시 회사채;김치본드;달러표시 회사채;외화사채,,medium,https://en.wikipedia.org/wiki/Kimchi_bond (김치본드 개념); 데이터 스냅샷 관측
국내채권,STD_PD_MCLS_NM,외화채권-금융채,1,6,국내 시장에서 외화 표시로 발행된 금융기관 채권 분류(1건). 은행·여전사 등 금융회사가 외화 자금조달을 위해 국내에서 발행한 외화표시 채권이다.,외화표시 금융채;김치본드;외화 은행채,,medium,https://en.wikipedia.org/wiki/Kimchi_bond (김치본드 개념); 데이터 스냅샷 관측
국내채권,STD_PD_SCLS_NM,일반사채,30958,16,주식 관련 옵션(전환권·신주인수권 등)이나 유동화 구조가 없는 보통의 회사채. 발행회사의 신용을 바탕으로 약정 이자와 원금을 지급하는 표준적인 회사채 소분류다.,일반 회사채;무보증사채;보통사채;스트레이트본드;SB,,high,https://www.hanwhawm.com/main/finance/guide/TG440_4wt.htm (한화투자증권 채권의 종류)
국내채권,STD_PD_SCLS_NM,공사채,5386,16,한국전력공사·한국토지주택공사 등 특별법에 따라 설립된 공사·공단이 발행하는 특수채. 정부 산하 공공기관의 신용으로 발행되어 신용도가 높으며 한전채가 대표적이다.,공공기관채;한전채;LH채;공사공단채;특수법인채,,high,https://eiec.kdi.re.kr/material/clickView.do?click_yymm=201512&cidx=1084 (KDI 경제교육)
국내채권,STD_PD_SCLS_NM,특수은행채,2436,16,"한국산업은행·중소기업은행·한국수출입은행·농협·수협 등 특별법으로 설립된 특수은행이 발행하는 금융채(2,398건). 산업금융채권(산금채)·중소기업금융채권(중금채)이 대표적이며 국책은행의 신용으로 신용도가 매우 높다.",산금채;산업금융채권;중금채;중소기업금융채권;수출입은행채;국책은행채;농협채,,high,"https://kbthink.com/dictionary/view.html?dictId=KED-00001146 (KB 금융용어사전, 산업금융채권)"
국내채권,STD_PD_SCLS_NM,지역개발,1266,16,"지방자치단체가 지역개발기금 재원 조달을 위해 발행하는 지방채로, 자동차 등록이나 지자체 인허가·계약 시 의무매입되는 첨가소화채다. 통상 5년 만기 일시상환 방식이다.",지역개발채권;첨가소화채;자동차 채권;도시개발채권;의무매입채권,,high,"https://www.hankyung.com/article/2023122628721 (한국경제, 지역개발채권 의무매입); https://www.fnnews.com/news/201702071717126162 (파이낸셜뉴스, 첨가소화채권)"
