분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
값사전|국내채권|STD_PD_MCLS_NM,회사채,회사채,"상법상 주식회사가 시설투자·운영자금 등 사업자금 조달을 위해 발행하는 채무증권. 본 데이터에서는 일반회사채뿐 아니라 카드채·할부금융채 등 민간 금융회사 발행 채권과 유동화·Conduit 사채까지 포괄하는 최상위 분류로 사용된다(31,447건).",사채;일반 회사채;기업채;크레딧채권;크레딧물,,high,,"https://eiec.kdi.re.kr/material/clickView.do?click_yymm=201512&cidx=1084 (KDI 경제교육, 채권시장 분류)"
값사전|국내채권|STD_PD_MCLS_NM,특수채,특수채,"한국전력공사법·한국산업은행법 등 특별법에 따라 설립된 법인(공사·공단·특수은행·한국은행 등)이 발행하는 채권. 정부 관련 기관이 발행해 국채 다음가는 신용도를 가지며, 본 데이터에서는 공사채·특수은행채·MBS·통안채 등을 포괄한다(8,755건).",특수법인채;공공기관채;공사공단채;한전채;정부기관채,,high,,"https://eiec.kdi.re.kr/material/clickView.do?click_yymm=201512&cidx=1084 (KDI 경제교육, 채권시장 분류)"
값사전|국내채권|STD_PD_MCLS_NM,국공채,국공채,"정부가 발행하는 국채(국고채·국민주택채권·재정증권 등)와 지방자치단체가 발행하는 지방채(지역개발채권·도시철도채권·모집지방채 등)를 합쳐 부르는 분류(2,137건). 국가·지자체의 신용으로 발행되어 신용위험이 가장 낮은 채권군이다.",국채;지방채;정부채;나라채권,,high,,"https://ktb.moef.go.kr/ntndbtKnd.do (기획재정부 국채시장, 국채종류)"
값사전|국내채권|STD_PD_MCLS_NM,개인투자용국채,개인투자용국채,"개인의 안정적 자산 형성 지원을 위해 2024년 6월부터 기획재정부가 발행하는 개인 전용 저축성 국채(49건). 전용계좌를 통해 개인만 매입 가능하고 만기 보유 시 표면금리에 가산금리를 더한 이자와 분리과세 혜택을 받으며, 시장 유통이 불가하고 중도환매만 가능하다.",개인국채;개인투자용 국채;저축성 국채;개인용 국채,,high,,https://ktb.moef.go.kr/personalInvGovBonds.do (기획재정부 국채시장)
값사전|국내채권|STD_PD_MCLS_NM,외화채권-회사채,외화채권(회사채),국내 시장에서 원화가 아닌 외화(달러 등) 표시로 발행된 회사채 분류(5건). 국내 발행 외화표시 채권은 통칭 김치본드로 불린다.,외화표시 회사채;김치본드;달러표시 회사채;외화사채,,medium,,https://en.wikipedia.org/wiki/Kimchi_bond (김치본드 개념); 데이터 스냅샷 관측
값사전|국내채권|STD_PD_MCLS_NM,외화채권-금융채,외화채권(금융채),국내 시장에서 외화 표시로 발행된 금융기관 채권 분류(1건). 은행·여전사 등 금융회사가 외화 자금조달을 위해 국내에서 발행한 외화표시 채권이다.,외화표시 금융채;김치본드;외화 은행채,,medium,,https://en.wikipedia.org/wiki/Kimchi_bond (김치본드 개념); 데이터 스냅샷 관측
값사전|국내채권|STD_PD_SCLS_NM,일반사채,일반사채,주식 관련 옵션(전환권·신주인수권 등)이나 유동화 구조가 없는 보통의 회사채. 발행회사의 신용을 바탕으로 약정 이자와 원금을 지급하는 표준적인 회사채 소분류다.,일반 회사채;무보증사채;보통사채;스트레이트본드;SB,,high,,https://www.hanwhawm.com/main/finance/guide/TG440_4wt.htm (한화투자증권 채권의 종류)
값사전|국내채권|STD_PD_SCLS_NM,기타사채,기타사채,"일반사채로 분류되지 않는 회사채를 묶는 소분류로, 유동화회사채·Conduit회사채·SPAC사채 등 특수한 발행구조의 사채가 포함되는 것으로 추정된다. 정확한 포함 범위는 데이터 제공사 분류 기준 확인이 필요하다.",기타 회사채;특수구조 사채,,low,,데이터 스냅샷 관측 기반 추정 (공식 분류기준 미확인)
값사전|국내채권|STD_PD_SCLS_NM,공사채,공사채,한국전력공사·한국토지주택공사 등 특별법에 따라 설립된 공사·공단이 발행하는 특수채. 정부 산하 공공기관의 신용으로 발행되어 신용도가 높으며 한전채가 대표적이다.,공공기관채;한전채;LH채;공사공단채;특수법인채,,high,,https://eiec.kdi.re.kr/material/clickView.do?click_yymm=201512&cidx=1084 (KDI 경제교육)
값사전|국내채권|STD_PD_SCLS_NM,특수은행채,특수은행채,한국산업은행·중소기업은행·한국수출입은행 등 특별법으로 설립된 특수은행(국책은행)이 발행하는 금융채. 산업금융채권(산금채)·중소기업금융채권(중금채)이 대표적이며 정부의 손실보전 조항 등으로 신용도가 매우 높다.,국책은행채;산금채;산업금융채권;중금채;중소기업금융채권;수출입은행채;수은채,,high,,"https://kbthink.com/dictionary/view.html?dictId=KED-00001146 (KB 금융용어사전, 산업금융채권)"
값사전|국내채권|STD_PD_SCLS_NM,은행채,은행채,시중은행·지방은행 등 은행법에 따른 일반은행이 대출재원 조달을 위해 발행하는 금융채. 예금과 함께 은행의 주요 자금조달 수단이다.,일반은행채;시중은행채;금융채;은행 발행 채권,,high,,"https://www.moef.go.kr/sisa/dictionary/detail?idx=686 (기획재정부 시사경제용어사전, 금융채)"
