분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
값사전|펀드클래스,A,A클래스(수수료선취-오프라인),"가입 시 선취판매수수료를 부과하는 클래스로, 대신 판매보수가 상대적으로 낮아 2년 이상 장기투자에 유리. 금투협 펀드분류코드(6번째 자리) 값 '2'에 대응.",선취판매수수료;선취형;수수료선취;에이클래스;class A,"펀드명 접미어 'A', 'Ae'(온라인) 형태",high,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://www.hankyung.com/article/2021112897911; https://new-macro.com/2023/02/26/펀드의-종류2-종류형-펀드/
값사전|펀드클래스,B,B클래스(수수료후취),환매(해지) 시 후취판매수수료를 부과하는 클래스. 국내 공모펀드에서는 드물게 사용됨. 금투협 분류코드 값 '3'에 대응.,후취판매수수료;후취형;비클래스,,high,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://new-macro.com/2023/02/26/펀드의-종류2-종류형-펀드/
값사전|펀드클래스,C,C클래스(수수료미징구),"선취·후취 판매수수료를 모두 받지 않는 대신 판매보수가 높은 클래스로, 단기투자에 유리. 금투협 분류코드 값 '4'에 대응.",수수료미징구;판매수수료 없는 펀드;씨클래스;노로드(부분적),"'C', 'Ce'/'C-e'(온라인), 'C-P'(연금) 등 결합 표기",high,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://www.hankyung.com/article/2021112897911; https://www.paxetv.com/news/articleView.html?idxno=2314
값사전|펀드클래스,D,D클래스(수수료선후취병과),선취와 후취 판매수수료를 모두 부과하는 클래스. 금투협 분류코드 값 '5'에 대응.,선후취병과;디클래스,,high,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://new-macro.com/2023/02/26/펀드의-종류2-종류형-펀드/
값사전|펀드클래스,E / e,E클래스(온라인 전용),"온라인(인터넷) 채널 전용 판매 클래스로 오프라인 대비 판매보수·수수료가 저렴. 펀드명에서는 소문자 'e'로 기존 클래스 뒤에 병기(Ae, Ce, C-e 등). 금투협 분류코드 값 '6'에 대응.",온라인클래스;인터넷 전용 펀드;이클래스;온라인전용,단독 'E' 또는 접미 'e' 결합 표기,high,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://www.hankyung.com/article/2017061301791; https://www.kcie.or.kr/mobile/guide/1/9/web_view?series_idx=&content_idx=800
값사전|펀드클래스,S,S클래스(온라인슈퍼·펀드슈퍼마켓 전용),"온라인 펀드판매 전문회사(펀드슈퍼마켓, 현 한국포스증권/펀드온라인코리아 계열) 전용 클래스로 보수가 가장 낮은 편이며, 통상 3년 미만 환매 시 후취수수료가 부과되는 구조. 금투협 분류코드 값 'D'에 대응.",펀드슈퍼마켓;온라인슈퍼;수수료후취-온라인슈퍼;에스클래스,,high,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://www.hankyung.com/article/2021112897911; https://new-macro.com/2023/02/26/펀드의-종류2-종류형-펀드/
값사전|펀드클래스,F,F클래스(기관·펀드 전용),기관투자자 및 다른 펀드(재간접펀드가 편입하는 용도) 전용 클래스로 판매보수가 매우 낮음. 금투협 분류코드 값 '7'에 대응. 데이터의 F101~F103 속성코드와 연관 추정.,기관전용;펀드클래스;재간접 편입용 클래스,,medium,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://new-macro.com/2023/02/26/펀드의-종류2-종류형-펀드/; https://www.hankyung.com/article/2021112897911
값사전|펀드클래스,I,I클래스(고액거래자 전용),일정 금액 이상 고액 개인·법인(기관) 거래자 전용 클래스로 보수가 낮음. 금투협 분류코드 값 '9'에 대응.,고액전용;기관고액;아이클래스,,high,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://new-macro.com/2023/02/26/펀드의-종류2-종류형-펀드/
값사전|펀드클래스,W,W클래스(랩어카운트·ISA 전용),"증권사 랩어카운트(Wrap Account) 및 ISA 계좌를 통한 매매 전용 클래스. 금투협 분류코드 값 'B'에 대응. 데이터의 W101, W104 속성코드와 연관 추정.",랩어카운트 전용;랩클래스;ISA전용;더블유클래스,,high,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://new-macro.com/2023/02/26/펀드의-종류2-종류형-펀드/
값사전|펀드클래스,J,J클래스(운용사 직판),자산운용사가 판매사를 거치지 않고 직접 판매하는 클래스로 판매보수가 없거나 매우 낮음. 금투협 분류코드 값 'C'에 대응.,직판클래스;운용사 직접판매;제이클래스,,medium,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://new-macro.com/2023/02/26/펀드의-종류2-종류형-펀드/
값사전|펀드클래스,P / P1,P클래스(연금저축·개인연금 전용),"연금계좌(연금저축) 전용 클래스로 세제혜택 대상이며 장기유지를 전제로 보수가 낮음. 표준화 병기 명칭은 '개인연금'(예: 수수료미징구-온라인-개인연금 = C-Pe). 금투협 분류코드 값 'A'(연금, 근로자퇴직급여보장법 기반 포함)에 대응하며 일부 운용사는 P1으로 표기.",연금저축펀드;개인연금클래스;연금클래스;P1클래스,,medium,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://www.kcie.or.kr/mobile/guide/1/9/web_view?series_idx=&content_idx=800; https://www.hanwhawm.com/main/bbs/content_print.cmd?nn_id=4&vc_bid=coreReport
값사전|펀드클래스,P2,P2클래스(퇴직연금 전용),퇴직연금(DC형·IRP) 계좌 전용 클래스로 근로자퇴직급여보장법에 근거. 표준화 병기 명칭은 '퇴직연금'(예: 수수료미징구-온라인-퇴직연금).,퇴직연금클래스;IRP전용;DC전용;퇴직연금펀드,,medium,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://www.kcie.or.kr/mobile/guide/1/9/web_view?series_idx=&content_idx=800
값사전|펀드클래스,T / T1,T클래스(소득공제 장기펀드),조세특례제한법상 소득공제 장기집합투자증권저축(소장펀드) 전용 클래스. 2014~2015년 한시 판매 상품으로 현재 신규가입은 불가하나 기존 계좌 유지분이 데이터에 잔존할 수 있음.,소장펀드;소득공제장기펀드;소득공제 클래스,,medium,,조세특례제한법 제91조의16(소득공제 장기집합투자증권저축); 금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호
값사전|펀드클래스,H(클래스),H클래스(장기주택마련저축 전용),"장기주택마련저축 계좌 전용 클래스(판매 종료된 세제상품). 금투협 분류코드 값 '8'에 대응. 주의: 펀드명 괄호 앞에 붙는 'H'(환헤지 표기)와 전혀 다른 개념이므로 질의 해석 시 위치로 구분해야 함(클래스 H는 클래스 위치, 환헤지 H는 '...투자신탁H(주식)'처럼 신탁명 뒤).",장기주택마련;장마저축 클래스,,medium,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://new-macro.com/2023/02/26/펀드의-종류2-종류형-펀드/
값사전|펀드클래스,O,O클래스(디폴트옵션 전용),퇴직연금 사전지정운용제도(디폴트옵션) 전용 클래스로 2022년 8월 시행세칙 개정으로 신설. 금투협 20자리 펀드분류코드 6번째 자리에서 코드 'H'로 부여됨(금융투자협회 공식 답변으로 확인).,디폴트옵션;사전지정운용;오클래스,,high,,https://www.kofia.or.kr/voc/m_113/view.do?voc_id=2950&answer_seq=2217 (금융투자협회 공식 Q&A); 금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호
값사전|펀드클래스,G,G클래스(무권유 저비용·클린클래스),"판매창구에서 '투자권유 불원서'를 제출하고 권유 없이 가입하는 투자자용 저비용 클래스로, 기존 클래스 문자 뒤에 소문자 g로 병기되기도 함(예: Cg). 표준화 병기 명칭은 '무권유저비용'(예: 수수료선취-오프라인-무권유저비용). 데이터의 G110/G115/G118 속성코드와 연관 추정.",클린클래스;무권유저비용;투자권유불원;지클래스,,medium,,https://www.paxetv.com/news/articleView.html?idxno=2314; https://www.hanwhawm.com/main/bbs/content_print.cmd?nn_id=4&vc_bid=coreReport
값사전|펀드클래스,Y,Y클래스(기타),"금투협 표준 16개 클래스 유형에 속하지 않는 기타 클래스로, 분류코드 값 'Y'에 대응.",기타 클래스,,medium,,금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호; https://new-macro.com/2023/02/26/펀드의-종류2-종류형-펀드/
값사전|운용속성,주식형,주식형 펀드,"자산총액의 60% 이상을 주식에 투자하는 펀드(금투협 분류기준). 자본시장법상으로는 증권집합투자기구(제229조 제1호, 자산의 40% 초과를 증권에 투자)에 속함.",주식펀드;성장형;stock fund;equity fund,주식 편입비율 60% 이상,high,,자본시장법 제229조; https://www.samsungfund.com/fund/insight/guide/view02.do; https://www.kbam.co.kr/board/view/551
값사전|운용속성,채권형,채권형 펀드,자산총액의 60% 이상을 채권(및 채권 관련 파생상품)에 투자하고 주식을 편입하지 않는 펀드(금투협 분류기준).,채권펀드;bond fund;안정형,"채권 편입비율 60% 이상, 주식 미편입",high,,자본시장법 제229조; https://www.samsungfund.com/fund/insight/guide/view02.do
값사전|운용속성,주식혼합,주식혼합형 펀드,주식과 채권에 함께 투자하되 주식 최고 편입한도가 50% 이상인 혼합형 펀드(금투협 분류기준).,주식혼합형;혼합주식형;balanced fund(주식우위),주식 최고편입한도 50% 이상 60% 미만,high,,https://www.samsungfund.com/fund/insight/guide/view02.do; https://brunch.co.kr/@money-economy/44
값사전|운용속성,채권혼합,채권혼합형 펀드,주식과 채권에 함께 투자하되 주식 최고 편입한도가 50% 미만인 혼합형 펀드(금투협 분류기준). 퇴직연금 DC/IRP에서 위험자산 한도 때문에 많이 활용됨.,채권혼합형;혼합채권형;balanced fund(채권우위),주식 최고편입한도 50% 미만,high,,https://www.samsungfund.com/fund/insight/guide/view02.do; https://brunch.co.kr/@money-economy/44
값사전|운용속성,MMF,단기금융집합투자기구(머니마켓펀드),"집합투자재산 전부를 콜론, CP, 단기 국공채 등 단기금융상품에 투자하는 펀드(자본시장법 제229조 제5호). 수시입출이 가능한 초단기 자금운용 상품.",머니마켓펀드;단기금융펀드;Money Market Fund;수시입출금 펀드,,high,,자본시장법 제229조 제5호; https://casenote.kr/법령/자본시장과_금융투자업에_관한_법률/제229조; https://mofe.go.kr/sisa/dictionary/detail?idx=166
값사전|운용속성,혼합자산,혼합자산집합투자기구,증권·부동산·특별자산 등 투자대상 자산의 비율 제한을 받지 않고 자유롭게 운용하는 펀드(자본시장법 제229조 제4호).,혼합자산펀드;멀티에셋;자유운용형,,high,,자본시장법 제229조 제4호; https://casenote.kr/법령/자본시장과_금융투자업에_관한_법률/제229조
값사전|운용속성,재간접,재간접펀드(Fund of Funds),펀드재산의 40% 이상(초과)을 다른 집합투자기구가 발행한 집합투자증권(외국 펀드 포함)에 투자하는 펀드. 해외 운용사 펀드를 편입하는 국내 공모펀드 대부분이 해당.,펀드오브펀즈;FoF;모태펀드형;재간접형,타 펀드 집합투자증권 40% 이상 투자,high,,https://www.funddoctor.co.kr/board/aboard/content.jsp?name=fund_abc&number=277; 자본시장법 시행령 제80조
값사전|운용속성,특별자산,특별자산집합투자기구,"펀드재산의 40% 초과(대통령령 비율)를 증권·부동산이 아닌 특별자산(선박, 항공기, 인프라, 원자재, 지식재산권 등)에 투자하는 펀드(자본시장법 제229조 제3호).",특별자산펀드;실물자산펀드;인프라펀드,,high,,자본시장법 제229조 제3호; https://casenote.kr/법령/자본시장과_금융투자업에_관한_법률/제229조
값사전|운용속성,임대형,임대형 부동산펀드,"부동산집합투자기구(자본시장법 제229조 제2호)의 하위 유형으로, 실물 부동산(오피스·물류센터 등)을 취득하여 임대수익과 매각차익을 추구하는 펀드.",부동산임대펀드;실물형 부동산펀드;리츠 유사,,medium,,자본시장법 제229조 제2호; https://www.kbam.co.kr/board/view/551
값사전|운용속성,대출형,대출형 부동산펀드,부동산 개발사업 시행사 등에 대한 대출(PF대출)로 운용하여 이자수익을 추구하는 부동산펀드 하위 유형.,PF펀드;프로젝트파이낸싱펀드;부동산대출채권펀드,,medium,,자본시장법 제229조 제2호; https://www.kbam.co.kr/board/view/551
코드표|센티널,"or_attr_desc = ""06""",운용속성 코드 미변환 값(센티널),"운용속성 컬럼에 한글 명칭 대신 원천 코드 '06'이 변환되지 않고 남은 값(5,436건). 원 코드체계상 의미 미상이므로 NULL(미상)로 정규화 권고. 특정 유형(부동산 등)일 가능성은 있으나 웹에서 확인 불가.",미변환 코드;오류값,NULL 처리 권고,low,,"제공 데이터 관측(PRFD01N001) 기반 자체 판단, 외부 출처 없음"
컬럼사전|공모펀드,kofia_fd_ccd,금융투자협회 펀드분류코드(20자리),"금투협 「금융투자회사의 영업 및 업무에 관한 규정 시행세칙」 별지 제15호 '집합투자기구의 분류'에 따라 펀드의 차수별 분류 속성(형태, 클래스유형, 자산유형 등)을 자리마다 1자리 코드로 인코딩한 20자리 코드. 'Z'는 해당없음(비적용) 자리로 추정되며, 전부 '0'인 값은 코드 미부여 센티널.",협회펀드분류코드;펀드유형코드;집합투자기구 분류코드,"20자리 영숫자, Z=해당없음(추정)",medium,,https://www.kofia.or.kr/voc/m_113/view.do?voc_id=2950&answer_seq=2217; https://law.kofia.or.kr/service/law/lawFullScreen.do?seq=137&historySeq=1508 (별지 제15호)
코드표|KOFIA펀드분류코드,kofia_fd_ccd 6번째 자리,클래스유형(5차 분류) 코드,"20자리 분류코드의 6번째 자리는 클래스(종류형) 유형을 나타냄 — 금융투자협회 공식 답변으로 확인. 코드 매핑: 2=A(선취), 3=B(후취), 4=C(미징구), 5=D(선후취병과), 6=E(온라인), 7=F(기관), 8=H(장기주택마련), 9=I(고액), A=P(연금), B=W(랩/ISA), C=J(직판), D=S(펀드슈퍼마켓), H=O(디폴트옵션), Y=기타. 데이터 샘플과 일치 확인(예: '11111A32...'의 A=연금, '141112...'의 2=A클래스).",클래스유형코드;종류형 구분,1자리 영숫자,high,,"https://www.kofia.or.kr/voc/m_113/view.do?voc_id=2950&answer_seq=2217 (O클래스=코드 H, 6번째 자리 공식 확인); https://new-macro.com/2023/02/26/펀드의-종류2-종류형-펀드/ (별지 제15호 코드표 전재)"
코드표|KOFIA펀드분류코드,kofia_fd_ccd 첫 1~2자리,펀드 형태·자산유형 코드(가설),"공식 문서 미확인 상태의 가설: 1번째 자리는 펀드 설정형태(1=투자신탁이 지배적, 2=투자회사 추정), 2번째 자리는 주된 운용자산 유형으로 추정되며 데이터 분포상 1=채권형, 2=주식형, 3=주식혼합, 4=채권혼합, 6=재간접, 9=MMF와 개수가 근사하게 대응(주식형 36,338 vs '12' 28,589 등, 차이는 '00' 센티널 22,131건 때문으로 해석). 7/8/E는 부동산·특별자산·혼합자산 후보이나 미확정.",대분류코드;설정형태코드,각 1자리,low,,제공 데이터 분포 기반 가설(공식 별지 제15호 원문 HWP 미확인)
코드표|센티널,"kofia_fd_ccd = ""00000000000000000000""",펀드분류코드 미부여(센티널),"전 자리가 0인 값(22,131건)은 분류코드가 부여·연계되지 않은 상태를 뜻하는 센티널로, NULL로 정규화하고 분류 기반 질의에서 제외 권고.",영값;미분류,NULL 처리 권고,high,,제공 데이터 관측(PRFD01N001) 기반 자체 판단
컬럼사전|공모펀드,prfd_attr_cd,펀드별속성코드(내부 코드 추정),"228종의 값을 갖는 PK 구성 코드로, 첫 글자가 판매 클래스 문자(C, D, W, F, G, S, P 등)와 연관된 것으로 보이나 M, V, N 등 클래스 체계에 없는 문자와 ISO 3166 alpha-3 국가코드(CHN, USA)가 혼재되어 있어 미래에셋증권 내부 상품속성 코드로 추정됨. 공식 외부 사전 없음 — 첫 글자만으로 클래스를 단정하지 말 것.",펀드속성코드;상품속성코드,영문 1자+숫자 3자 또는 3자 국가코드,low,,"제공 데이터 관측 기반 가설, 외부 출처 없음(ISO 3166-1 alpha-3: CHN=중국, USA=미국)"
컬럼사전|공모펀드,fd_set_pcd,펀드설정유형코드,"펀드의 설정(자금모집) 방식 구분 코드로 추정. 10=추가형(설정 후에도 수시로 추가 자금납입·매수 가능, 91,354건으로 국내 공모펀드 대부분), 20=단위형(모집기간에만 자금을 모으고 추가납입 불가, 3,806건), 00=미상(센티널, 458건 → NULL 권고). 국내 공모펀드의 절대다수가 추가형이라는 시장 구조와 분포가 일치하나 코드값 자체는 내부 정의로 미확인.",추가형;단위형;설정방식;추가납입 가능 여부,2자리 코드; 00은 NULL 처리 권고,low,,https://kbthink.com/dictionary/view.html?dictId=KED-00000599 (추가형·단위형 정의); 코드 매핑은 데이터 분포 기반 가설
값사전|설정유형,추가형,추가형 펀드,최초 설정 이후에도 투자자가 수시로 추가 매수(자금납입)할 수 있는 펀드. 개방형(환매 가능)과 결합되는 경우가 대부분.,수시납입형;개방형(연관);추가설정 가능,,high,,https://kbthink.com/dictionary/view.html?dictId=KED-00000599; https://www.hanwhafund.co.kr/webapp/hw_kor/hw_invest_guide/hw_start_fund.jsp
값사전|설정유형,단위형,단위형 펀드,정해진 모집기간에만 자금을 모집하고 이후 추가납입을 받지 않는 펀드. 폐쇄형(환매 제한)과 결합되는 경우가 많으며 부동산·특별자산 펀드에 흔함.,모집형;폐쇄형(연관);추가납입 불가,,high,,https://kbthink.com/dictionary/view.html?dictId=KED-00000599; https://www.hanwhafund.co.kr/webapp/hw_kor/hw_invest_guide/hw_start_fund.jsp
값사전|환헤지,exchdg_yn,환헤지 여부,"해외자산 투자 시 환율변동 위험을 헤지하는지 여부. Y=환헤지 실시(펀드명의 'H' 표기와 대응), N=환노출(펀드명의 'UH' 표기와 대응). 환헤지형은 자산가격 변동만, 환노출형은 환율 변동까지 수익률에 반영됨.",환헤지;환노출;헤지형;언헤지;H;UH,Y/N; '00080008' 등 이상값은 NULL 처리 권고,high,,https://www.hankyung.com/article/2016031552311; https://www.samsungfund.com/etf/insight/guide/view07.do
별칭사전|종목명패턴,H / UH (펀드명 접미),환헤지(H)·환노출(UH) 표기,"펀드·ETF 명칭에서 신탁명 뒤 또는 괄호 안에 붙는 H는 환헤지(Hedged), UH는 환노출(Unhedged)을 의미하는 업계 표준 표기(예: '...증권자투자신탁H(주식)', '(UH)'). exchdg_yn 컬럼의 Y/N과 교차검증 가능하며, 클래스 문자 H(장기주택마련)와 혼동 금지.",환헤지형;환노출형;헤지;언헤지드,"명칭 내 'H', '(H)', '(UH)' 패턴",high,,https://www.hankyung.com/article/2016031552311; https://www.samsungfund.com/etf/insight/guide/view07.do
별칭사전|종목명패턴,증권자투자신탁 / 모투자신탁,모자형 펀드의 자(子)투자신탁,"'...증권자투자신탁'은 모자형 구조(자본시장법 제233조)에서 투자자에게 판매되는 자(子)펀드를, '모투자신탁'은 자펀드들의 자금을 모아 실제 운용하는 모(母)펀드를 의미. 데이터의 종목명 대부분이 자투자신탁이며, 클래스 접미어(A, C-e 등)는 자펀드에만 붙음.",자펀드;모펀드;모자형;피더펀드;마스터펀드,,high,,자본시장법 제233조(모자형집합투자기구); https://www.samsungfund.com/fund/insight/guide/view02.do
컬럼사전|공모펀드,int_dvd_desc,이자·배당 구분,"상품 분배금(수익)의 소득 구분 표시로 추정. 소득세법 제17조 제1항 제5호에 따라 집합투자기구로부터의 이익은 '배당소득'으로 과세되므로 공모펀드는 원칙적으로 '배당'이며, '이자'는 이자소득으로 분류되는 상품(채권 직접투자 성격 등) 또는 원천 시스템상 구분값으로 추정. 정확한 부여 기준은 내부 확인 필요.",분배금 구분;소득구분;배당소득;이자소득,배당/이자,medium,,소득세법 제17조 제1항 제5호(집합투자기구로부터의 이익=배당소득); 컬럼 의미는 데이터 관측 기반 추정
코드표|센티널,"exchdg_yn = ""00080008""",환헤지 여부 이상값(센티널),"Y/N 도메인을 벗어난 시스템 오류값으로, NULL(미상)로 정규화하고 환헤지 관련 질의 집계에서 제외 권고. Y(44,987)+N(20,870)=65,857건 외 잔여 건은 결측 또는 이 이상값으로 추정.",오류값;쓰레기값,NULL 처리 권고,high,,제공 데이터 관측(PRFD01N001) 기반 자체 판단
값사전|펀드클래스,클래스 한글 병기 명칭,펀드 클래스 명칭 국문 표준화(2017),"2017년 금융당국·금투협 조치로 펀드명에 클래스 알파벳과 함께 한글 설명을 병기하도록 표준화됨. 예: A=[수수료선취-오프라인], Ce=[수수료미징구-온라인], S=[수수료후취-온라인슈퍼], Cg=[수수료미징구-오프라인-무권유저비용], C-Pe=[수수료미징구-온라인-개인연금], C-P2e=[수수료미징구-온라인-퇴직연금]. 사용자 질의의 한글 명칭을 클래스 문자로 역매핑하는 데 활용.",클래스명칭 표준화;펀드명 한글 병기,'수수료{선취|후취|미징구}-{오프라인|온라인|온라인슈퍼}[-부가속성]' 패턴,medium,,https://www.hankyung.com/article/2017061301791; https://www.hanwhawm.com/main/bbs/content_print.cmd?nn_id=4&vc_bid=coreReport; https://www.kcie.or.kr/mobile/guide/1/9/web_view?series_idx=&content_idx=800
값사전|운용속성,파생형,파생상품 투자 펀드(파생형),파생상품 매매에 따른 위험평가액이 일정 비율(자산총액의 10%)을 초과할 수 있는 펀드로 금투협 분류상 별도 표시됨. 제공 데이터의 or_attr_desc에는 직접 등장하지 않으나 kofia_fd_ccd 내 파생형 여부 자리가 존재할 것으로 추정.,파생상품펀드;파생형펀드;derivative fund,,low,,"금융투자회사의 영업 및 업무에 관한 규정 시행세칙 별지 제15호(원문 미확인, 통용 분류 기준)"
