분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
등급체계:회사채신용등급,AAA,회사채 장기신용등급 AAA,"원리금 상환가능성이 최고 수준인 최상위 등급(한국신용평가 정의). rank=1, 투자등급. 3사 모두 AAA에는 +/- 부호를 붙이지 않는다.",트리플에이;트리플A;최고등급;최상위등급,"rank=1; 투자등급; 데이터 표기 'AAA'(12,240건)",high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf); 한국기업평가 등급정의(https://www.korearatings.com/cms/frCmnCon/index.do?MENU_ID=240)
등급체계:회사채신용등급,AA+,회사채 장기신용등급 AA+,"원리금 상환가능성이 매우 높지만 AAA에 비해 다소 열위한 AA등급 중 상대적 우위(+). rank=2, 투자등급.",더블에이플러스;AA플러스,"rank=2; 투자등급; 데이터 표기 'AA+'(3,191건)",high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,AA,회사채 장기신용등급 AA(플랫),"원리금 상환가능성이 매우 높지만 상위등급(AAA)에 비해 다소 열위한 면이 있다(한국신용평가 정의). rank=3, 투자등급.",더블에이;AA0;AA플랫;AA(무부호),"rank=3; 투자등급; 데이터에서는 무부호(플랫)를 'AA0'으로 표기(1,713건) → 정규화 시 AA",high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,AA-,회사채 장기신용등급 AA-,"AA등급 내 상대적 열위(-). rank=4, 투자등급. 국내 회사채 시장에서 우량 등급의 하단으로 통용된다.",더블에이마이너스;AA마이너스,"rank=4; 투자등급; 데이터 표기 'AA-'(4,939건)",high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,A+,회사채 장기신용등급 A+,"원리금 상환가능성이 높지만 AA 대비 환경변화에 영향을 받기 쉬운 A등급 중 상대적 우위(+). rank=5, 투자등급.",싱글에이플러스;A플러스,rank=5; 투자등급; 데이터 표기 'A+'(906건),high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,A,회사채 장기신용등급 A(플랫),"원리금 상환가능성이 높지만 상위등급(AA)에 비해 경제여건 및 환경변화에 따라 영향을 받기 쉬운 면이 있다(한국신용평가 정의). rank=6, 투자등급.",싱글에이;A0;A플랫,rank=6; 투자등급; 데이터에서는 'A0'으로 표기(904건) → 정규화 시 A,high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,A-,회사채 장기신용등급 A-,"A등급 내 상대적 열위(-). rank=7, 투자등급.",싱글에이마이너스;A마이너스,rank=7; 투자등급; 데이터 표기 'A-'(345건),high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,BBB+,회사채 장기신용등급 BBB+,"원리금 상환가능성이 일정수준 인정되나 환경변화에 따라 저하 가능성이 있는 BBB등급 중 상대적 우위(+). rank=8, 투자등급.",트리플비플러스;BBB플러스,rank=8; 투자등급; 데이터 표기 'BBB+'(206건),high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,BBB,회사채 장기신용등급 BBB(플랫),"원리금 상환가능성이 일정수준 인정되지만 상위등급(A)에 비해 경제여건 및 환경변화에 따라 저하될 가능성이 있다(한국신용평가 정의). rank=9, 투자등급.",트리플비;BBB0;BBB플랫,rank=9; 투자등급; 데이터에서는 'BBB0'으로 표기(116건) → 정규화 시 BBB,high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
등급체계:회사채신용등급,BBB-,회사채 장기신용등급 BBB-,"투자등급(투자적격)의 최하단 등급. rank=10이며, 이보다 낮으면(BB+ 이하) 투기등급으로 분류된다.",트리플비마이너스;투자적격 하한;투자등급 경계,rank=10; 투자등급 하한(경계); 데이터 표기 'BBB-'(8건),high,검증통과,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf); NICE신용평가 장기신용등급(https://www.nicerating.com/disclosure/longTermGrade.do)
