하 | 살 수 있는 원화 채권에서 신용등급 AA 이상으로 다섯 종목 부탁드려요. | 국내 채권의 신용등급과 만기일로 매수가능 여부를 판정하며 AA-는 제외한다.
하 | 국내ETF순자산TOP3좀알려줘 | 국내 ETF의 양수 순자산을 큰 순서로 비교한다.
하 | 총보수 싼 국내 ETF 두어 개 볼래. | 국내 ETF의 양수 총보수로 정렬하되 두어 개의 정확한 수량은 확정하지 않는다.
하 | 판매중인 공모펀드 몇 개 소개 가능할까요? | 펀드의 판매상태와 공모 구분으로 후보를 찾으며 몇 개는 정확한 개수 지정이 아니다.
하 | 만기 짧은 채권 서너 개만 좀 보여주라 | 기준일 이후 만기 채권을 잔존만기 순으로 찾으며 서너 개는 수량 범위가 모호하다.
하 | 분배금을 1년에 12번 주는 국내 ETF가 궁금해요. | 국내 ETF의 연간 분배 지급횟수 항목으로 조회한다.
하 | 1개월 변동성 낮은 국내 ETF 한 개 부탁! | 국내 ETF의 1개월 변동성에서 0과 결측을 제외하고 오름차순 첫 상품을 찾는다.
하 | 국민성장펀드는 어떤 구조로 투자하고 전략 흐름은 어때요? | 펀드 이름과 마스터 사실은 조회할 수 있지만 구조와 전략 동향을 설명할 서술 자료는 없다.
중 | 캠브리콘 들어있는 중국 반도체 etf 찾아주실래요? | 구성종목의 캠브리콘 편입 관계와 국내 ETF 이름의 중국 반도체 조건을 함께 확인한다.
중 | 나스닥100 추종 국내 ETF 중 총보수 0.5% 이하인 걸 보수 낮은 순으로 세 개만. | 국내 ETF 기초지수와 양수 총보수 상한을 결합해 정렬하며 총보수 결측 한계를 밝힌다.
중 | 4월에 분배하고 연간 분배금 500원 이상인 국내 ETF 좀요 | 국내 ETF 지급월과 연간 분배금의 경계 포함 조건을 함께 조회한다.
중 | 해외 ETF 중 유럽 채권형, fee 0.3% 이하만 보여주세요. | 해외 ETF 투자지역과 자산유형 및 양수 총보수 상한을 결합한다.
중 | 국내 주식형 공모펀드 중 1년 수익률 높은 순 다섯 개를 볼 수 있나요? | 펀드 유형과 공모 구분 및 1년 수익률을 보며 투자지역 미표기 상품의 처리 한계를 확인한다.
중 | 국내 ETF에서 3개월 변동성 20% 이하이고 순자산 100억원 이상인 것 중 이름과 순자산만 보여줘. | 국내 ETF의 3개월 변동성과 순자산 두 조건을 모두 적용하고 요청한 항목만 표시한다.
중 | 3% 표면금리인 채권, 퇴직연금에 넣을수있는 걸로 하나만요 | 국내 채권의 표면금리 정확 일치와 퇴직연금 편입 가능 여부를 함께 조회한다.
중 | 카카오뱅 들어간 ETF 있나용? 비슷한 종목 이름이면 먼저 알려줘. | 구성종목 이름의 부분 일치 후보는 안내만 가능하며 확정 편입 사실로 단정하지 않는다.
상 | LG 자회사 담은 ETF 가운데 순자산 1등은 어디서 운용해? | LG 접두 회사 후보에서 편입 ETF를 찾고 양수 순자산 1위의 운용사를 조회하며 법적 자회사 관계가 아닌 근사임을 밝힌다.
상 | SK 계열 종목 편입 ETF를 따라가서, 규모 최대 상품의 위험등급을 알려주세요. | SK 접두 후보와 ETF 편입 관계를 연결해 양수 순자산 최대 상품의 위험등급을 찾고 접두 근사를 명시한다.
상 | 삼성전자 담은 국내 ETF랑 공모펀드를 1년 수익률 TOP 3씩 뽑아줘. 해외 ETF도 같은 비교가 돼? | 국내 ETF 편입과 1년 수익률은 조회 가능하며 펀드 개별 보유 종목과 해외 ETF 1년 수익률은 없어 그 한계를 밝혀야 한다.
상 | 코스피200 추종 국내 ETF, 총보수 0.3% 이하에 순자산 1000억원 이상인 것 중 이름과 총보수만 보여주세요. | 기초지수와 양수 총보수 상한 및 순자산 하한을 모두 적용하고 표시 항목을 제한한다.
상 | 국내 ETF 중 1월 지급, 연간 4회 분배, 연간 분배금 200원 이상을 전부 만족하는 상품 셋 알려줘요. | 국내 ETF의 지급월과 지급횟수와 연간 분배금 조건을 교집합으로 조회한다.
상 | AA급 회사채 중 잔존만기 3년 이내, 표면금리 3% 초과, 퇴직연금 편입 가능한 것 세 개만 추려줘. | 신용등급 AA대와 회사채 분류 및 잔존만기 상한과 표면금리 엄격 하한 및 퇴직연금 가능 조건을 결합한다.
상 | 해외ETF 미국 주식형에서 보수 0.1% 이하, 순자산 10억달러 이상 100억달러 이하인 것 규모순 TOP 3 플리즈 | 해외 ETF의 투자지역과 자산유형 및 양수 총보수 상한과 순자산 양쪽 경계를 결합해 정렬한다.
상 | 최근 6개월 우주항공 테마랑 연결됐던 ETF를 정리해줄래? 과거 연결 기록이 없으면 그 점도 적어줘. | 현재 이름과 기초지수의 우주항공 테마 후보는 찾을 수 있으나 과거 6개월 관계 이력 자료는 없다.
답변불가 | 지금 이 순간 국내 ETF 실시간 호가랑 현재가 찍어줘. | 보유 자료는 기준일 자료이며 실시간 호가나 현재가가 없다.
답변불가 | 내년 수익률 1등 할 해외 ETF를 예측해봐. | 미래 수익률을 확정하거나 예측할 원천 자료가 없다.
답변불가 | 이 채권 지금 매수하고 내 펀드는 환불 처리까지 해줘. | 매매 및 환불 실행은 상품 정보 조회 범위 밖의 행위다.
답변불가 | 해외 ETF 팔아서 700만원 벌었는데 내가 낼 양도세 계산해줘요. | 개인 거래와 공제 자료가 없고 세금 계산 행위는 제공 범위 밖이다.
답변불가 | 별빛AI로봇2031 ETF라는 상품 상세 좀 알려주세여. | 임의로 만든 한글 상품명과 연도 숫자 조합이므로 원천에 존재하지 않는 이름인지 확인해야 한다.
답변불가 | 해외 ETF 위험등급, 배당락일, 공매도 잔고도 조회해 줄 수 있어? | 해외 ETF 위험등급과 배당락일 및 공매도 잔고는 원천 자료에 없는 항목이다.
